0,1.75,0,0.299788,5.62501,0,-0
0,1.75,0.0299788,0.599786,5.62501,0,8.49941e-13
0.00299788,1.75,0.0899575,0.899571,5.65363,3.0355e-18,6.47686e-14
0.0119936,1.75,0.179915,1.19849,5.71083,1.32369e-17,2.3449e-14
0.0299851,1.75,0.299763,1.49826,5.79646,3.10557e-17,1.49876e-15
0.0599614,1.75,0.449589,1.79803,5.91029,4.98429e-17,1.36914e-15
0.10492,1.75,0.629392,2.0978,6.05218,7.01007e-17,3.94858e-15
0.16786,1.75,0.839172,2.39757,6.22181,9.67128e-17,-5.31673e-15
0.251777,1.75,1.07893,2.69756,6.41877,1.11355e-16,-1.90282e-15
0.35967,1.75,1.34868,2.99756,6.64248,1.20287e-16,-1.55911e-15
0.494538,1.75,1.64844,3.02174,6.89211,1.23206e-16,1.67215e-16
0.659382,1.75,1.95062,2.82887,7.16643,1.26931e-16,-3.27193e-16
0.854444,1.75,2.2335,3.12887,7.43883,1.28729e-16,-2.6156e-15
1.07779,1.75,2.54639,2.89011,7.68909,1.12296e-16,-1.0497e-16
1.33243,1.75,2.8354,3.1901,7.96002,9.50247e-17,-1.11234e-16
1.61597,1.75,3.15441,3.01155,8.20312,7.67418e-17,-1.87535e-16
1.93141,1.75,3.45557,2.91397,8.46284,5.65591e-17,4.91245e-17
2.27697,1.75,3.74696,3.21305,8.69755,3.693e-17,3.00687e-16
2.65167,1.75,4.06827,2.92067,8.91345,2.10128e-17,3.92336e-16
3.05849,1.75,4.36034,3.21968,9.1378,1.03474e-17,2.45293e-16
3.49453,1.75,4.6823,2.95678,9.32603,3.24674e-18,5.50294e-16
3.96276,1.75,4.97798,3.25677,9.51564,4.7176e-18,-1.62022e-16
4.46056,1.75,5.30366,2.99677,9.66926,3.47846e-18,-1.31806e-17
4.99092,1.75,5.60334,3.01771,9.81523,2.00494e-18,-1.39502e-16
5.55126,1.75,5.90511,2.90152,9.92306,-2.11148e-18,8.81956e-17
6.14177,1.75,6.19526,3.20149,10.0043,-4.46262e-18,-2.63901e-16
6.76129,1.75,6.51541,2.9059,10.0529,-1.23803e-17,4.31534e-16
7.41283,1.75,6.806,2.60591,10.0727,-1.07483e-17,8.64701e-17
8.09343,1.75,7.06659,2.30594,10.0525,-7.10396e-18,-1.53922e-16
8.80009,1.75,7.29718,2.21598,9.99931,-7.20154e-18,-1.48488e-16
9.52981,1.75,7.51878,1.91613,9.92057,-1.10472e-17,-1.42997e-16
10.2817,1.75,7.7104,1.80731,9.81637,-1.862e-17,1.41745e-16
11.0527,1.75,7.89113,1.50731,9.69765,-2.23861e-17,1.452e-16
11.8418,1.75,8.04186,1.54751,9.56148,-2.21533e-17,2.12417e-16
12.646,1.75,8.19661,1.24751,9.42244,-1.59333e-17,-5.93645e-17
13.4657,1.75,8.32136,0.947509,9.26262,-1.14185e-17,-3.42262e-17
14.2978,1.75,8.41611,1.02221,9.10838,-7.90575e-18,2.4084e-16
15.1394,1.75,8.51833,0.722212,8.96649,2.76542e-18,-2.48325e-16
15.9913,1.75,8.59055,0.422212,8.8067,5.97168e-18,1.25021e-16
16.8503,1.75,8.63277,0.722212,8.66565,1.29819e-17,7.87694e-18
17.7136,1.75,8.705,0.422212,8.54828,2.02337e-17,-1.91793e-16
18.5841,1.75,8.74722,0.122213,8.54828,2.15717e-17,0.100137
19.4588,1.75,8.75944,0.422213,8.54828,0.00312401,0.0997957
20.3348,1.75274,8.80166,0.122213,8.54828,0.00937638,0.100135
21.2149,1.76099,8.81388,0.422213,8.54828,0.0187722,0.0997949
22.0961,1.77753,8.8561,0.122213,8.54828,0.0313158,0.100132
22.9813,1.80526,8.86832,0.422213,8.54828,0.0470224,0.0997941
23.8671,1.84695,8.91054,0.122213,8.54828,0.0658962,0.033452
24.7563,1.90562,8.92277,0.422213,8.54828,0.08583,-0.0906918
25.6453,1.98211,8.96499,0.122213,8.54828,0.102869,-0.0879962
26.537,2.07417,8.97721,0.422213,8.54828,0.117097,-0.087404
27.4286,2.17905,9.01943,0.122213,8.54828,0.128519,-0.0836537
28.3231,2.29465,9.03165,0.386588,8.54828,0.137252,-0.0834017
29.2178,2.41822,9.07031,0.0865877,8.54828,0.143292,-0.0786362
30.1155,2.54775,9.07897,0.369128,8.54828,0.14679,-0.0780631
31.0136,2.68054,9.11588,0.0691275,8.54828,0.147754,-0.0752229
31.9153,2.81474,9.12279,0.168175,8.54828,0.146274,-0.0686572
32.8178,2.94771,9.13961,-0.131825,8.54828,0.142554,-0.0641901
33.7225,3.07756,9.12643,0.168175,8.54828,0.136741,-0.0575883
34.6266,3.20196,9.14325,-0.131825,8.54828,0.129045,-0.0351752
35.5334,3.31963,9.13006,0.168175,8.54828,0.120202,-0.0226773
36.4398,3.42911,9.14688,-0.131825,8.54828,0.110619,0.0016521
37.3489,3.53008,9.1337,0.168175,8.54828,0.101089,0.0124271
38.2576,3.62226,9.15052,-0.131825,8.54828,0.0919651,0.0291792
39.1688,3.70629,9.13733,0.168175,8.54828,0.0837937,0.0328565
40.0793,3.78277,9.15415,-0.131825,8.54828,0.0766965,0.0406309
40.992,3.85291,9.14097,0.168175,8.54828,0.0709261,0.0375154
41.9038,3.91769,9.15779,-0.131825,8.54828,0.0663829,0.0387353
42.8176,3.97843,9.1446,0.168175,8.54828,0.063105,0.0313988
43.7302,4.0361,9.16142,-0.131824,8.54828,0.0608545,0.0337249
44.6447,4.09182,9.14824,0.168176,8.54828,0.0597061,0.022123
45.5579,4.14641,9.16506,-0.131824,8.54828,0.0592816,0.0180388
